timestamp,game_number,difficulty,status,time_taken,completion,flags_placed,guesses_made,moves_total
2025-12-04 10:35:24,1,beginner,fail,0.1,34.6%,0,2,2
2025-12-04 10:35:26,2,beginner,fail,0.01,34.6%,0,0,0
2025-12-05 01:33:57,3,beginner,fail,0.35,42.0%,0,3,8
2025-12-05 01:37:25,4,beginner,fail,0.81,95.1%,8,2,19
2025-12-05 18:01:45,5,8x8,fail,1.0,29.7%,2,3,11
2025-12-06 20:24:08,6,8x8,fail,2.5,95.3%,8,1,27
2025-12-06 21:36:14,7,8x8,fail,0.65,17.2%,0,1,1
2025-12-06 21:37:34,8,8x8,fail,6.86,64.1%,16,9,86
2025-12-06 21:38:10,9,8x8,fail,0.81,20.3%,0,3,3
2025-12-06 21:38:43,10,8x8,fail,2.41,96.9%,8,2,27
2025-12-06 21:41:19,11,8x8,fail,1.75,93.8%,6,3,17
2025-12-06 21:42:14,12,8x8,fail,0.86,29.7%,1,0,4
2025-12-06 21:42:54,13,8x8,fail,0.65,17.2%,0,1,1
2025-12-06 21:43:40,14,8x8,fail,0.72,18.8%,0,2,2
2025-12-06 21:46:07,15,8x8,fail,0.72,18.8%,0,2,2
2025-12-06 21:51:32,16,8x8,fail,0.66,17.2%,0,1,1
2025-12-06 21:51:47,17,8x8,fail,0.96,23.4%,0,5,5
2025-12-06 21:52:23,18,8x8,fail,0.73,18.8%,0,2,2
2025-12-06 21:58:51,19,intermediate,fail,2.06,26.6%,2,5,19
2025-12-06 21:59:18,20,intermediate,fail,0.73,16.4%,0,2,2
2025-12-06 22:08:37,21,intermediate,fail,9.71,98.8%,37,6,131
2025-12-06 22:08:59,22,intermediate,fail,0.76,16.4%,0,2,2
2025-12-06 22:16:14,23,intermediate,fail,1.11,19.1%,0,6,6
2025-12-06 22:16:56,24,intermediate,fail,1.2,23.0%,1,1,8
2025-12-06 22:19:03,25,intermediate,fail,0.68,16.0%,0,1,1
2025-12-06 22:19:18,26,intermediate,fail,0.67,16.0%,0,1,1
